Job ID,Agency,# Of Positions,Civil Service Title,Salary Range From,Salary Range To,Salary Frequency,Salary Range
163776,DEPT OF ENVIRONMENT PROTECTION,1,ASSOCIATE PROJECT MANAGER,75981,103007,Annual,27026
114352,DEPT OF ENVIRONMENT PROTECTION,5,SENIOR STATIONARY ENGINEER (EL,109850,109850,Annual,0
102221,DEPT OF ENVIRONMENT PROTECTION,1,ENVIRONMENTAL ENGINEERING INTE,43349,52496,Annual,9147
117261,DEPT OF ENVIRONMENT PROTECTION,1,CIVIL ENGINEERING INTERN,43349,52496,Annual,9147
168874,DEPT OF ENVIRONMENT PROTECTION,1,COMPUTER PROGRAMMER ANALYST,45174,62370,Annual,17196
124287,LAW DEPARTMENT,1,STUDENT LEGAL SPECIALIST,32850,37778,Annual,4928
206286,DEPARTMENT OF TRANSPORTATION,1,COMPUTER SPECIALIST (SOFTWARE),87203,120754,Annual,33551
124564,DEPT OF ENVIRONMENT PROTECTION,1,CITY RESEARCH SCIENTIST,63662,79899,Annual,16237
124839,DEPT OF ENVIRONMENT PROTECTION,1,PORT MARINE ENGINEER,69417,97893,Annual,28476
128877,DEPT OF ENVIRONMENT PROTECTION,1,CITY PARK WORKER,29271,45465,Annual,16194
170412,DEPT OF ENVIRONMENT PROTECTION,2,CONSTRUCTION PROJECT MANAGER I,45333,54898,Annual,9565
131277,NYC HOUSING AUTHORITY,5,INDUSTRIAL HYGIENIST,47251,63506,Annual,16255
132292,NYC HOUSING AUTHORITY,52,MAINTENANCE WORKER,51908,54580,Annual,2672
171287,DEPT OF ENVIRONMENT PROTECTION,1,COMPUTER PROGRAMMER ANALYST,45174,62370,Annual,17196
138531,DEPT OF ENVIRONMENT PROTECTION,1,ASSOCIATE CHEMIST,50623,75083,Annual,24460
134511,DEPT OF ENVIRONMENT PROTECTION,1,ENVIRONMENTAL ENGINEER,57129,82737,Annual,25608
134515,DEPT OF ENVIRONMENT PROTECTION,1,CIVIL ENGINEER,57129,82737,Annual,25608
137433,DEPT OF HEALTH/MENTAL HYGIENE,1,PROCUREMENT ANALYST,50598,85053,Annual,34455
172053,DEPT OF INFO TECH & TELECOMM,1,ADM MANAGER-NON-MGRL FRM M1/M2,49492,69000,Annual,19508
140566,DEPT OF ENVIRONMENT PROTECTION,1,ASSOCIATE PROJECT MANAGER,57129,82737,Annual,25608
148717,NYC HOUSING AUTHORITY,3,ASBESTOS HAZARD INVESTIGATOR,45876,68840,Annual,22964
149962,DEPT OF HEALTH/MENTAL HYGIENE,1,CERT. IT ADMINISTRATOR WAN,77733,95000,Annual,17267
150410,NYC HOUSING AUTHORITY,1,AGENCY ATTORNEY,69085,69085,Annual,0
151131,NYC HOUSING AUTHORITY,1,ADMINISTRATIVE STAFF ANALYST (,90000,110000,Annual,20000
177048,DEPT OF INFO TECH & TELECOMM,1,COMPUTER SPECIALIST (SOFTWARE),81290,95896,Annual,14606
177866,DEPARTMENT OF FINANCE,1,ASSOCIATE STAFF ANALYST,68466,80000,Annual,11534
177962,NYC HOUSING AUTHORITY,3,SUPERVISOR OF ELEVATOR MAINTEN,54740,146276,Annual,91536
151405,DEPT OF ENVIRONMENT PROTECTION,4,CONSTRUCTION PROJECT MANAGER I,43349,52496,Annual,9147
193881,DEPT OF HEALTH/MENTAL HYGIENE,1,LABORATORY HELPER,29437,29437,Annual,0
151650,NYC HOUSING AUTHORITY,3,PLUMBER'S HELPER,61387,61387,Annual,0
187049,NYC HOUSING AUTHORITY,3,HIGH PRESSURE PLANT TENDER,65459,65459,Annual,0
187199,DEPT OF ENVIRONMENT PROTECTION,1,PORT MARINE ENGINEER,69417,97893,Annual,28476
187344,DEPT OF HEALTH/MENTAL HYGIENE,2,COMPUTER ASSOC (SOFTWARE),58721,67529,Annual,8808
193893,DEPT OF ENVIRONMENT PROTECTION,1,CITY RESEARCH SCIENTIST,66575,83555,Annual,16980
195614,NYC HOUSING AUTHORITY,1,CITY PLANNER,64626,94409,Annual,29783
201367,DEPARTMENT OF TRANSPORTATION,1,ESTIMATOR (GENERAL CONSTRUCTIO,50328,75516,Annual,25188
195805,ADMIN FOR CHILDREN'S SVCS,2,ASSOCIATE STAFF ANALYST,59536,88649,Annual,29113
187714,ADMIN FOR CHILDREN'S SVCS,1,CERTIFIED IT ADMINISTRATOR LAN,72260,98163,Annual,25903
189019,DEPT OF ENVIRONMENT PROTECTION,1,ASSOCIATE PUBLIC HEALTH SANITA,53130,82577,Annual,29447
190197,DEPT OF ENVIRONMENT PROTECTION,1,ASSOCIATE STAFF ANALYST,59536,75568,Annual,16032
195938,NYC HOUSING AUTHORITY,1,ELECTRICAL ENGINEER,71030,98681,Annual,27651
199744,NYC HOUSING AUTHORITY,1,ADMINISTRATIVE PROJECT MANAGER,90000,105000,Annual,15000
190769,ADMIN FOR CHILDREN'S SVCS,1,ADMINISTRATIVE PUBLIC HEALTH N,90000,140000,Annual,50000
196559,DEPARTMENT OF FINANCE,1,COMPUTER SPECIALIST (SOFTWARE),72260,83099,Annual,10839
191317,DEPT OF ENVIRONMENT PROTECTION,1,CIVIL ENGINEER,59743,86523,Annual,26780
254625,HRA/DEPT OF SOCIAL SERVICES,1,COMPUTER SYSTEMS MANAGER,58675,156793,Annual,98118
191546,DEPT OF ENVIRONMENT PROTECTION,1,COMPUTER PROGRAMMER ANALYST,45174,62370,Annual,17196
191646,DEPT OF PARKS & RECREATION,16,FORESTER,50000,52460,Annual,2460
192062,DEPT OF ENVIRONMENT PROTECTION,1,CITY PLANNING TECHNICIAN,34325,52660,Annual,18335
197159,DEPT OF HEALTH/MENTAL HYGIENE,1,SUPERVISOR II SOCIAL WORK,58584,76924,Annual,18340
197316,DEPT OF INFO TECH & TELECOMM,4,ASSOCIATE CALL CENTER REPRESEN,43118,49586,Annual,6468
192236,DEPT OF HEALTH/MENTAL HYGIENE,1,FORENSIC MORTUARY TECHNICIAN,49090,56453,Annual,7363
254630,DEPT OF ENVIRONMENT PROTECTION,1,ADMINISTRATIVE CONSTRUCTION PR,58675,156793,Annual,98118
197535,DEPT OF HEALTH/MENTAL HYGIENE,1,COMPUTER ASSOC (SOFTWARE),67527,98853,Annual,31326
280355,DEPARTMENT OF BUILDINGS,1,COMPUTER SPECIALIST (SOFTWARE),92065,100000,Annual,7935
197767,TAXI & LIMOUSINE COMMISSION,1,AGENCY ATTORNEY,55615,84904,Annual,29289
192723,DEPT OF INFO TECH & TELECOMM,1,RESEARCH ASSISTANT,40055,60611,Annual,20556
192756,DEPARTMENT OF TRANSPORTATION,1,CERTIFIED IT ADMINISTRATOR LAN,81290,114954,Annual,33664
192759,DEPARTMENT OF TRANSPORTATION,1,COMPUTER SPECIALIST (SOFTWARE),81290,105464,Annual,24174
192766,DEPT OF ENVIRONMENT PROTECTION,1,MECHANICAL ENGINEER,59743,86523,Annual,26780
198928,DEPARTMENT OF FINANCE,1,ADMINISTRATIVE STAFF ANALYST (,56937,83000,Annual,26063
193109,DEPT OF INFO TECH & TELECOMM,1,ADM MANAGER-NON-MGRL FRM M1/M2,53373,72000,Annual,18627
199342,DEPARTMENT OF FINANCE,1,COMPUTER SYSTEMS MANAGER,57244,120000,Annual,62756
184882,NYC HOUSING AUTHORITY,1,ADMINISTRATIVE ENGINEER,90000,105000,Annual,15000
185056,LAW DEPARTMENT,3,PARALEGAL AIDE,38089,53300,Annual,15211
199768,DEPT OF INFO TECH & TELECOMM,1,COMMUNITY ASSOCIATE,33799,56249,Annual,22450
185606,DEPARTMENT OF TRANSPORTATION,1,MANAGEMENT AUDITOR,49389,79013,Annual,29624
186016,DEPT OF HEALTH/MENTAL HYGIENE,1,ADMINISTRATIVE STAFF ANALYST (,78000,90000,Annual,12000
186182,DEPT OF HEALTH/MENTAL HYGIENE,2,CRIMINALIST,58136,58136,Annual,0
220128,TAXI & LIMOUSINE COMMISSION,1,COMPUTER SYSTEMS MANAGER,70000,92000,Annual,22000
220356,HOUSING PRESERVATION & DVLPMNT,1,CONSTRUCTION PROJECT MANAGER,51586,77404,Annual,25818
220511,DEPT OF HEALTH/MENTAL HYGIENE,4,CRIMINALIST,59589,59589,Annual,0
225491,DEPT OF ENVIRONMENT PROTECTION,8,COMMUNITY COORDINATOR,48895,75900,Annual,27005
225597,DEPARTMENT OF CORRECTION,26,COOK,36494,46362,Annual,9868
231077,DEPT OF ENVIRONMENT PROTECTION,1,ASSOCIATE PROJECT MANAGER,61237,88686,Annual,27449
221045,NYC EMPLOYEES RETIREMENT SYS,1,CERT. IT ADMINISTRATOR WAN,89383,134914,Annual,45531
221961,DEPARTMENT OF FINANCE,1,PRINCIPAL ADMINISTRATIVE ASSOC,41810,48082,Annual,6272
202767,DEPT OF ENVIRONMENT PROTECTION,1,ASSOCIATE PROJECT MANAGER,65822,96470,Annual,30648
203029,DEPT OF HEALTH/MENTAL HYGIENE,1,NURSE PRACTITIONER(DEPT HEALTH,63710,92000,Annual,28290
205470,DEPT OF ENVIRONMENT PROTECTION,2,ELECTRICAL ENGINEERING INTERN,45333,54898,Annual,9565
204915,DEPT OF ENVIRONMENT PROTECTION,1,ASSISTANT ENVIRONMENTAL ENGINE,50328,75516,Annual,25188
222312,DEPT OF ENVIRONMENT PROTECTION,1,ADMINISTRATIVE ENGINEER,58675,156793,Annual,98118
206424,DEPT OF ENVIRONMENT PROTECTION,5,AIR POLLUTION INSPECTOR,30817,39064,Annual,8247
222840,DEPARTMENT OF TRANSPORTATION,3,ADMINISTRATIVE PROJECT MANAGER,53051,145991,Annual,92940
224253,DEPT OF ENVIRONMENT PROTECTION,1,ADMINISTRATIVE ENGINEER,53051,145991,Annual,92940
278273,TAXI & LIMOUSINE COMMISSION,1,COMPUTER SYSTEMS MANAGER,54643,100000,Annual,45357
209710,DEPT OF HEALTH/MENTAL HYGIENE,9,CONSULTANT (PUBLIC HEALTH-SOCI,58584,67372,Annual,8788
223194,DEPARTMENT OF TRANSPORTATION,1,CITY PLANNER,66242,96769,Annual,30527
210312,DEPT OF INFO TECH & TELECOMM,1,ADM MANAGER-NON-MGRL FRM M1/M2,64000,71000,Annual,7000
211090,ADMIN FOR CHILDREN'S SVCS,8,STAFF NURSE,69252,69252,Annual,0
223244,DEPARTMENT OF FINANCE,1,COMPUTER SYSTEMS MANAGER,80379,150000,Annual,69621
223426,DEPT OF PARKS & RECREATION,3,ARCHITECT,73000,101148,Annual,28148
223736,DEPT OF ENVIRONMENT PROTECTION,1,ASSOCIATE PUBLIC HEALTH SANITA,60673,91795,Annual,31122
223946,DEPT OF HEALTH/MENTAL HYGIENE,100,SPECIAL CONSULTANT (MENTAL HEA,54347,74187,Annual,19840
215639,LAW DEPARTMENT,6,ASSISTANT CORPORATION COUNSEL,72617,138880,Annual,66263
249269,HRA/DEPT OF SOCIAL SERVICES,1,COMPUTER SYSTEMS MANAGER,53051,145991,Annual,92940
224058,DEPT OF HEALTH/MENTAL HYGIENE,1,CITY RESEARCH SCIENTIST,68239,68239,Annual,0
224194,OFFICE OF MANAGEMENT & BUDGET,1,BUDGET ANALYST (OMB)-MANAGERIA,106475,106475,Annual,0
224243,DEPARTMENT OF FINANCE,1,CONFIDENTIAL STRATEGY PLANNER,54128,91112,Annual,36984
218977,DEPARTMENT OF TRANSPORTATION,1,ADMINISTRATIVE ENGINEER,53051,145991,Annual,92940
219112,NYC HOUSING AUTHORITY,1,MAINTENANCE WORKER,51908,54580,Annual,2672
219144,NYC HOUSING AUTHORITY,2,INDUSTRIAL HYGIENIST,50649,68071,Annual,17422
279214,FINANCIAL INFO SVCS AGENCY,1,COMPUTER SYSTEMS MANAGER,100000,120000,Annual,20000
224435,DEPARTMENT OF FINANCE,1,PRINCIPAL ADMINISTRATIVE ASSOC,46782,53799,Annual,7017
219633,DEPT OF HEALTH/MENTAL HYGIENE,8,CRIMINALIST,59589,59589,Annual,0
224514,OFFICE OF THE COMPTROLLER,1,COMPUTER SYSTEMS MANAGER,85000,105000,Annual,20000
224568,DEPT OF HEALTH/MENTAL HYGIENE,1,CRIMINALIST,59589,59589,Annual,0
225247,DEPARTMENT OF TRANSPORTATION,2,CIVIL ENGINEER,61237,88686,Annual,27449
225490,DEPT OF ENVIRONMENT PROTECTION,1,CIVIL ENGINEERING INTERN,46466,56270,Annual,9804
226677,TAXI & LIMOUSINE COMMISSION,1,COMPUTER SYSTEMS MANAGER,53051,92000,Annual,38949
226791,DEPT OF ENVIRONMENT PROTECTION,1,ASSOCIATE STAFF ANALYST,62260,74000,Annual,11740
227127,DEPT OF ENVIRONMENT PROTECTION,2,WATER USE INSPECTOR,41250,57295,Annual,16045
227159,DEPT OF ENVIRONMENT PROTECTION,1,CIVIL ENGINEERING INTERN,46466,56270,Annual,9804
227285,DEPT OF ENVIRONMENT PROTECTION,1,COMPUTER SPECIALIST (SOFTWARE),89383,123773,Annual,34390
247320,DEPT OF ENVIRONMENT PROTECTION,2,MECHANICAL ENGINEERING INTERN,52000,52000,Annual,0
229283,HRA/DEPT OF SOCIAL SERVICES,1,COMPUTER SPECIALIST (SOFTWARE),74066,85176,Annual,11110
249063,DEPARTMENT OF SANITATION,1,CERT IT DEVELOPER (APP),89383,134914,Annual,45531
232886,DEPT OF INFO TECH & TELECOMM,3,BUSINESS PROMOTION COORDINATOR,62671,80000,Annual,17329
232984,DEPT OF ENVIRONMENT PROTECTION,1,COMPUTER SPECIALIST (SOFTWARE),77157,99406,Annual,22249
233005,DEPT OF INFO TECH & TELECOMM,1,COMPUTER SPECIALIST (OPERATION,69253,108000,Annual,38747
227351,TAXI & LIMOUSINE COMMISSION,1,COMMUNITY ASSOCIATE,40000,57655,Annual,17655
229837,DEPT OF INFO TECH & TELECOMM,1,COMPUTER SYSTEMS MANAGER,58675,125000,Annual,66325
233011,DEPARTMENT OF FINANCE,1,ADMINISTRATIVE STAFF ANALYST (,58675,90000,Annual,31325
233017,ADMIN FOR CHILDREN'S SVCS,1,ADMINISTRATIVE DIRECTOR OF SOC,65107,173663,Annual,108556
229916,DEPT OF ENVIRONMENT PROTECTION,1,ELECTRICAL ENGINEER,81443,110413,Annual,28970
230147,DEPT OF HEALTH/MENTAL HYGIENE,1,PRINCIPAL ADMINISTRATIVE ASSOC,41810,61248,Annual,19438
230250,DEPT OF ENVIRONMENT PROTECTION,4,ENGINEERING TECHNICIAN,50674,70623,Annual,19949
230490,LAW DEPARTMENT,1,COMPUTER ASSOC (OPERATIONS),55556,82776,Annual,27220
230388,HOUSING PRESERVATION & DVLPMNT,1,COMMUNITY COORDINATOR,48895,60000,Annual,11105
227523,DEPARTMENT OF TRANSPORTATION,1,ASSOCIATE STAFF ANALYST,62260,92704,Annual,30444
230974,ADMIN FOR CHILDREN'S SVCS,7,CHILD AND FAMILY SPECIALIST,66000,89008,Annual,23008
231144,DEPARTMENT OF INVESTIGATION,1,DEPUTY INSPECTOR GENERAL,75000,120000,Annual,45000
227629,DEPT OF PARKS & RECREATION,1,ELECTRICAL ENGINEER,65000,88000,Annual,23000
227739,DEPARTMENT OF TRANSPORTATION,1,HIGHWAY TRANSPORTATION SPECIAL,61237,88686,Annual,27449
231293,DEPARTMENT OF TRANSPORTATION,5,MARINE OILER(FERRY OPERATIONS),48211,55443,Annual,7232
231349,DEPT OF PARKS & RECREATION,1,ASSISTANT ARCHITECT,70000,77000,Annual,7000
228094,NYC EMPLOYEES RETIREMENT SYS,1,COMPUTER SPECIALIST (SOFTWARE),77157,99406,Annual,22249
228364,DEPT OF HEALTH/MENTAL HYGIENE,1,CLERICAL ASSOCIATE,29690,34143,Annual,4453
228447,DEPT OF INFO TECH & TELECOMM,1,ADMINISTRATIVE BUSINESS PROMOT,53051,110000,Annual,56949
231350,DEPT OF HEALTH/MENTAL HYGIENE,4,CRIMINALIST,85716,85716,Annual,0
231376,DEPARTMENT OF FINANCE,1,COMPUTER SYSTEMS MANAGER,58675,130000,Annual,71325
228487,DEPARTMENT OF FINANCE,1,ADMINISTRATIVE STAFF ANALYST (,73144,120000,Annual,46856
228525,DEPT OF HEALTH/MENTAL HYGIENE,1,CRIMINALIST,49796,49796,Annual,0
231851,HOUSING PRESERVATION & DVLPMNT,1,CITY PLANNER,49897,72061,Annual,22164
228550,ADMIN FOR CHILDREN'S SVCS,6,ADMINISTRATIVE DIRECTOR OF SOC,58675,95000,Annual,36325
228597,ADMIN FOR CHILDREN'S SVCS,1,ADMINISTRATIVE DIRECTOR OF SOC,53051,90000,Annual,36949
228749,DEPARTMENT OF TRANSPORTATION,1,COMPUTER SPECIALIST (SOFTWARE),89383,123773,Annual,34390
231945,ADMIN FOR CHILDREN'S SVCS,9,COMMUNITY COORDINATOR,48895,75900,Annual,27005
231965,DEPARTMENT OF TRANSPORTATION,15,BRIDGE OPERATOR,36991,51424,Annual,14433
228904,DEPT OF ENVIRONMENT PROTECTION,1,ELECTRICAL ENGINEER,81443,110413,Annual,28970
232338,DEPT OF INFO TECH & TELECOMM,1,CERTIFIED IT ADMINISTRATOR (LA,87203,120000,Annual,32797
232360,DEPT OF INFO TECH & TELECOMM,2,COMPUTER SPECIALIST (OPERATION,69253,108101,Annual,38848
228947,DEPARTMENT OF TRANSPORTATION,1,MANAGEMENT AUDITOR,58617,88661,Annual,30044
243982,POLICE DEPARTMENT,1,COMMUNITY ASSISTANT,29391,38131,Annual,8740
225848,DEPT OF HEALTH/MENTAL HYGIENE,4,COMMUNITY SERVICE AIDE,26536,30516,Annual,3980
226044,DEPT OF INFO TECH & TELECOMM,1,CLERICAL ASSOCIATE,32888,50000,Annual,17112
226045,DEPT OF INFO TECH & TELECOMM,1,ASSOCIATE STAFF ANALYST,62260,92704,Annual,30444
232421,DEPT OF INFO TECH & TELECOMM,2,COMPUTER SPECIALIST (OPERATION,69253,108101,Annual,38848
232635,DEPT OF HEALTH/MENTAL HYGIENE,1,COMPUTER ASSOC (SOFTWARE),60189,69217,Annual,9028
232773,HOUSING PRESERVATION & DVLPMNT,4,COMPUTER ASSOC (OPERATIONS),76245,90000,Annual,13755
226646,DEPARTMENT OF TRANSPORTATION,1,ACCOUNTANT,45385,61669,Annual,16284
236930,DEPARTMENT OF TRANSPORTATION,1,CERTIFIED IT ADMINISTRATOR (LA,87203,131623,Annual,44420
233378,DEPARTMENT OF TRANSPORTATION,1,ADMINISTRATIVE PROJECT MANAGER,48535,134433,Annual,85898
237006,DEPT OF ENVIRONMENT PROTECTION,3,COMPUTER SPECIALIST (SOFTWARE),74066,92308,Annual,18242
239094,DEPARTMENT OF FINANCE,1,CERTIFIED IT ADMINISTRATOR (LA,81290,100000,Annual,18710
239188,DEPT OF ENVIRONMENT PROTECTION,4,WATERSHED MAINTAINER,37085,54243,Annual,17158
237029,DEPT OF ENVIRONMENT PROTECTION,3,CIVIL ENGINEER,72805,101148,Annual,28343
239204,ADMIN FOR CHILDREN'S SVCS,1,CITY RESEARCH SCIENTIST,68239,85644,Annual,17405
239208,HOUSING PRESERVATION & DVLPMNT,8,INSPECTOR (HOUSING),48410,70715,Annual,22305
239234,DEPT OF ENVIRONMENT PROTECTION,1,GEOLOGIST,51586,77404,Annual,25818
237059,DEPT OF ENVIRONMENT PROTECTION,1,COMMUNITY COORDINATOR,48895,67000,Annual,18105
237245,ADMIN FOR CHILDREN'S SVCS,20,SUPERVISOR I SOCIAL WORK,51376,74187,Annual,22811
234202,DEPT OF HEALTH/MENTAL HYGIENE,1,EVIDENCE AND PROPERTY CONTROL,52065,52065,Annual,0
234203,ADMIN FOR CHILDREN'S SVCS,1,ASSOCIATE STAFF ANALYST,63817,95022,Annual,31205
237569,DEPT OF HEALTH/MENTAL HYGIENE,1,CITY RESEARCH SCIENTIST,57969,63765,Annual,5796
234206,DEPT OF HEALTH/MENTAL HYGIENE,1,LABORATORY HELPER,33590,33590,Annual,0
234365,DEPT OF INFO TECH & TELECOMM,1,COMPUTER SYSTEMS MANAGER,53051,120000,Annual,66949
237576,ADMIN FOR CHILDREN'S SVCS,1,ADMINISTRATIVE STAFF ANALYST (,58675,156793,Annual,98118
243231,HRA/DEPT OF SOCIAL SERVICES,1,STAFF NURSE,69252,69252,Annual,0
237577,ADMIN FOR CHILDREN'S SVCS,1,ASSOCIATE STAFF ANALYST,63817,95022,Annual,31205
237679,NYC HOUSING AUTHORITY,1,ASBESTOS HAZARD INVESTIGATOR,49174,73789,Annual,24615
234921,NYC EMPLOYEES RETIREMENT SYS,1,CERTIFIED IT ADMINISTRATOR (LA,72260,98163,Annual,25903
237827,ADMIN FOR CHILDREN'S SVCS,3,CHILD WELFARE SPECIALIST SUPER,73320,91139,Annual,17819
237981,DEPARTMENT OF FINANCE,1,COMPUTER SPECIALIST (OPERATION,69253,80000,Annual,10747
237866,DEPT OF HEALTH/MENTAL HYGIENE,1,CLERICAL ASSOCIATE,29690,34143,Annual,4453
235183,DEPARTMENT OF TRANSPORTATION,1,PRINCIPAL ADMINISTRATIVE ASSOC,46782,68003,Annual,21221
237878,BOARD OF CORRECTION,1,COMPUTER ASSOC (OPERATIONS),46303,52000,Annual,5697
236270,HOUSING PRESERVATION & DVLPMNT,1,ADMINISTRATIVE PROJECT MANAGER,48535,100000,Annual,51465
237921,ADMIN FOR CHILDREN'S SVCS,1,SUPERVISOR II SOCIAL WORK,60049,82455,Annual,22406
237926,ADMIN FOR CHILDREN'S SVCS,1,ADMINISTRATIVE DIRECTOR OF SOC,53051,145991,Annual,92940
235793,LAW DEPARTMENT,1,STUDENT LEGAL SPECIALIST,35213,40495,Annual,5282
238005,DEPARTMENT OF FINANCE,3,ASSOCIATE INVESTIGATOR (NOT PR,54347,62499,Annual,8152
238162,HOUSING PRESERVATION & DVLPMNT,1,COMPUTER SPECIALIST (OPERATION,85000,95000,Annual,10000
236070,HOUSING PRESERVATION & DVLPMNT,5,SUPERVISOR OF MECHANICAL INSTA,61237,88686,Annual,27449
236071,DEPT OF DESIGN & CONSTRUCTION,3,CIVIL ENGINEER,83887,113725,Annual,29838
236079,DEPARTMENT OF FINANCE,1,ADMINISTRATIVE PROCUREMENT ANA,58675,105000,Annual,46325
238176,DEPT OF ENVIRONMENT PROTECTION,2,CITY PLANNER,49897,72061,Annual,22164
238267,DEPT OF YOUTH & COMM DEV SRVS,2,CONTRACT SPECIALIST,46212,71368,Annual,25156
238466,DEPARTMENT OF FINANCE,1,ADMINISTRATIVE STAFF ANALYST (,58675,80000,Annual,21325
236389,HOUSING PRESERVATION & DVLPMNT,1,COMMUNITY COORDINATOR,65000,75000,Annual,10000
238520,BOARD OF CORRECTION,4,CORRECTIONAL STANDARDS REVIEW,55403,63714,Annual,8311
238629,DEPARTMENT OF TRANSPORTATION,1,CONSTRUCTION PROJECT MANAGER,51586,77404,Annual,25818
238660,OFFICE OF THE COMPTROLLER,1,BUSINESS PROMOTION COORDINATOR,45000,65000,Annual,20000
238845,HOUSING PRESERVATION & DVLPMNT,1,COMMUNITY COORDINATOR,48895,71500,Annual,22605
236740,DEPARTMENT OF FINANCE,1,ADMINISTRATIVE TAX AUDITOR,65107,130000,Annual,64893
238976,DEPT OF ENVIRONMENT PROTECTION,1,CIVIL ENGINEER,72805,101148,Annual,28343
239048,ADMIN FOR CHILDREN'S SVCS,1,PROGRAM EVALUATOR (ACS),60049,89008,Annual,28959
236785,DEPARTMENT OF FINANCE,1,ARCHITECT,61237,88686,Annual,27449
239052,ADMIN FOR CHILDREN'S SVCS,1,COMMUNITY COORDINATOR,48895,75900,Annual,27005
236863,DEPT OF ENVIRONMENT PROTECTION,1,ELECTRICAL ENGINEER,72805,101148,Annual,28343
236864,DEPT OF ENVIRONMENT PROTECTION,2,MECHANICAL ENGINEERING INTERN,52000,52000,Annual,0
239551,ADMIN FOR CHILDREN'S SVCS,1,COMPUTER ASSOC (TECH SUPP),46405,67568,Annual,21163
239558,ADMIN FOR CHILDREN'S SVCS,1,SUPERVISOR OF NURSES,76597,76597,Annual,0
239570,DEPT OF ENVIRONMENT PROTECTION,1,WATERSHED MAINTAINER,37085,54243,Annual,17158
239583,DEPT OF INFO TECH & TELECOMM,1,IT PROJECT SPECIALIST,75000,95000,Annual,20000
241065,DEPT OF HEALTH/MENTAL HYGIENE,1,CLERICAL ASSOCIATE,36166,56775,Annual,20609
242541,OFFICE OF THE COMPTROLLER,1,ASSISTANT BUDGET ANALYST (COMP,39000,48000,Annual,9000
242604,POLICE DEPARTMENT,3,INVESTIGATOR,37492,59863,Annual,22371
242620,LAW DEPARTMENT,3,ASSISTANT CORPORATION COUNSEL,66499,85752,Annual,19253
242630,POLICE DEPARTMENT,1,STAFF ANALYST,48620,66195,Annual,17575
241227,ADMIN FOR CHILDREN'S SVCS,1,ADMINISTRATIVE DIRECTOR OF SOC,65107,173663,Annual,108556
239835,ADMIN FOR CHILDREN'S SVCS,1,CITY MEDICAL DIRECTOR,120000,160000,Annual,40000
